VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,IS_BUGGY
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,83,172,82,1.0,6,2,1.0,166,82,13.833333333333334,0,6,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,74,148,74,0.0,0,0,0.0,148,74,37.0,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,48,100,48,1.0,4,2,1.0,96,48,12.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,60,122,60,0.5,2,1,0.5,120,60,15.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,70,152,70,2.0,12,4,2.0,140,70,11.666666666666666,0,6,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,183,404,180,4.75,38,12,4.75,366,180,22.875,0,8,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,53,106,53,0.0,0,0,0.0,106,53,26.5,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,452,944,450,5.0,40,17,5.0,904,450,56.5,0,8,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,39,78,39,0.0,0,0,0.0,78,39,19.5,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,78,164,78,2.0,8,4,2.0,156,78,19.5,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,64,130,64,0.5,2,1,0.5,128,64,16.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,31,64,31,0.5,2,1,0.5,62,31,7.75,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,57,122,57,2.0,8,4,2.0,114,57,14.25,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,104,222,104,3.5,14,7,3.5,208,104,26.0,0,4,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,32,64,32,0.0,0,0,0.0,64,32,16.0,0,2,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,227,558,226,17.333333333333332,104,50,17.333333333333332,454,226,37.833333333333336,0,6,False
0,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,197,416,187,2.75,22,6,2.75,394,187,24.625,0,8,False
